iter	Logloss	Logloss
0	0.6749324742	0.6749324742
1	0.6572994329	0.6572994329
2	0.641300945	0.641300945
3	0.6269711368	0.6269711368
4	0.6137462214	0.6137462214
5	0.5993067763	0.5993067763
6	0.5855881567	0.5855881567
7	0.5720618625	0.5720618625
8	0.560371561	0.560371561
9	0.5476343006	0.5476343006
10	0.5342329184	0.5342329184
11	0.522219759	0.522219759
12	0.5106401375	0.5106401375
13	0.4992858188	0.4992858188
14	0.488350586	0.488350586
15	0.4783854312	0.4783854312
16	0.4677109736	0.4677109736
17	0.457674425	0.457674425
18	0.4479076762	0.4479076762
19	0.4376853597	0.4376853597
20	0.4281456303	0.4281456303
21	0.419177745	0.419177745
22	0.4117405048	0.4117405048
23	0.4038013785	0.4038013785
24	0.3956731132	0.3956731132
25	0.3875550874	0.3875550874
26	0.380040614	0.380040614
27	0.372860718	0.372860718
28	0.3652647613	0.3652647613
29	0.3583407683	0.3583407683
30	0.3512911529	0.3512911529
31	0.3448966137	0.3448966137
32	0.337514358	0.337514358
33	0.3314127303	0.3314127303
34	0.3253521851	0.3253521851
35	0.3193563551	0.3193563551
36	0.313508657	0.313508657
37	0.308072448	0.308072448
38	0.3031030076	0.3031030076
39	0.297581964	0.297581964
40	0.2923945525	0.2923945525
41	0.2875379347	0.2875379347
42	0.2824334232	0.2824334232
43	0.2773394983	0.2773394983
44	0.2730136807	0.2730136807
45	0.2690908106	0.2690908106
46	0.2643613592	0.2643613592
47	0.2606532472	0.2606532472
48	0.2565927938	0.2565927938
49	0.2526660701	0.2526660701
50	0.2490512745	0.2490512745
51	0.2455415899	0.2455415899
52	0.2420552099	0.2420552099
53	0.238537028	0.238537028
54	0.2350013829	0.2350013829
55	0.2320692447	0.2320692447
56	0.22905196	0.22905196
57	0.226196002	0.226196002
58	0.2232666024	0.2232666024
59	0.2202351081	0.2202351081
60	0.2168501348	0.2168501348
61	0.2137936198	0.2137936198
62	0.2107707577	0.2107707577
63	0.2079337801	0.2079337801
64	0.2048205101	0.2048205101
65	0.2021261535	0.2021261535
66	0.199563887	0.199563887
67	0.1965959874	0.1965959874
68	0.1939398154	0.1939398154
69	0.1913545005	0.1913545005
70	0.1894566028	0.1894566028
71	0.1872525328	0.1872525328
72	0.1853644116	0.1853644116
73	0.1831402606	0.1831402606
74	0.1812299067	0.1812299067
75	0.1789404252	0.1789404252
76	0.1767771329	0.1767771329
77	0.175400025	0.175400025
78	0.173529323	0.173529323
79	0.1717656691	0.1717656691
80	0.1699055086	0.1699055086
81	0.1683818417	0.1683818417
82	0.1665215349	0.1665215349
83	0.1647103622	0.1647103622
84	0.1633319907	0.1633319907
85	0.1619355263	0.1619355263
86	0.1601776368	0.1601776368
87	0.1588571565	0.1588571565
88	0.1577175978	0.1577175978
89	0.1559364864	0.1559364864
90	0.1545281741	0.1545281741
