iter	Passed	Remaining
0	14	29761
1	28	28713
2	42	28415
3	55	27719
4	68	27288
5	81	26968
6	93	26698
7	106	26524
8	119	26448
9	135	26868
10	148	26830
11	160	26625
12	172	26437
13	186	26409
14	199	26371
15	212	26328
16	226	26446
17	240	26504
18	253	26429
19	266	26429
20	280	26401
21	292	26300
22	304	26214
23	318	26185
24	331	26155
25	344	26133
26	357	26114
27	370	26076
28	383	26046
29	395	25983
30	408	25955
31	421	25904
32	434	25869
33	446	25845
34	460	25828
35	473	25848
36	480	25497
37	493	25485
38	506	25460
39	519	25453
40	532	25428
41	545	25421
42	558	25417
43	571	25387
44	583	25359
45	596	25325
46	609	25306
47	621	25291
48	634	25268
49	647	25249
50	660	25253
51	673	25239
52	686	25220
53	699	25216
54	712	25196
55	725	25174
56	738	25161
57	750	25138
58	763	25107
59	775	25081
60	788	25078
61	801	25064
62	815	25063
63	827	25037
64	840	25026
65	853	25012
66	871	25141
67	885	25171
68	899	25174
69	913	25183
70	926	25167
71	939	25149
72	951	25119
73	964	25102
74	978	25102
75	990	25081
76	1003	25068
77	1016	25045
78	1029	25030
79	1042	25018
80	1055	25004
81	1058	24760
82	1072	24779
83	1085	24763
84	1098	24749
85	1111	24740
86	1124	24733
87	1137	24716
88	1150	24700
89	1163	24692
90	1177	24704
91	1190	24695
92	1203	24686
93	1216	24667
94	1229	24658
95	1242	24637
96	1246	24463
97	1260	24457
98	1273	24453
99	1286	24442
100	1299	24436
101	1312	24429
102	1325	24414
103	1338	24399
104	1351	24388
105	1364	24375
106	1377	24362
107	1390	24356
108	1403	24340
109	1416	24333
110	1429	24324
111	1441	24301
112	1445	24130
113	1458	24122
114	1471	24111
115	1484	24102
116	1497	24096
117	1511	24105
118	1526	24126
119	1540	24128
120	1554	24139
121	1561	24039
122	1574	24027
123	1586	24009
124	1599	23994
125	1612	23985
126	1625	23969
127	1638	23956
128	1651	23947
129	1664	23946
130	1677	23931
131	1690	23923
132	1704	23929
133	1717	23919
134	1730	23906
135	1743	23892
136	1745	23734
137	1758	23728
138	1771	23716
139	1784	23705
140	1797	23696
141	1809	23682
142	1822	23667
143	1835	23659
144	1848	23649
145	1861	23640
146	1874	23629
147	1887	23619
148	1900	23606
149	1907	23521
150	1919	23510
151	1932	23500
152	1945	23491
153	1958	23481
154	1972	23473
155	1985	23464
156	1997	23452
157	2010	23439
158	2023	23430
159	2036	23418
160	2049	23412
161	2062	23404
162	2076	23397
163	2088	23385
164	2101	23372
165	2114	23360
166	2128	23362
167	2143	23373
168	2158	23381
169	2172	23381
170	2184	23367
171	2191	23294
172	2204	23282
173	2217	23267
174	2230	23264
175	2243	23253
176	2257	23247
177	2269	23232
178	2282	23223
179	2295	23205
180	2307	23193
181	2320	23181
182	2334	23174
183	2345	23152
184	2359	23146
185	2372	23138
186	2385	23132
187	2399	23125
188	2412	23113
189	2425	23103
190	2438	23095
191	2451	23083
192	2464	23070
193	2477	23060
194	2490	23049
195	2502	23036
196	2515	23020
197	2527	23005
198	2540	22995
199	2554	22988
200	2566	22972
201	2579	22964
202	2593	22957
203	2606	22947
204	2619	22935
205	2632	22922
206	2644	22908
207	2657	22895
208	2670	22884
209	2683	22873
210	2696	22862
211	2709	22850
212	2722	22840
213	2735	22826
214	2748	22819
215	2761	22809
216	2775	22808
217	2791	22815
218	2803	22802
219	2817	22795
220	2830	22783
221	2843	22775
222	2857	22772
223	2870	22758
224	2883	22748
225	2898	22748
226	2911	22739
227	2924	22727
228	2936	22710
229	2949	22701
230	2963	22692
231	2975	22676
232	2988	22662
233	3001	22651
234	3014	22641
235	3027	22626
236	3040	22616
237	3053	22607
238	3066	22596
239	3079	22582
240	3092	22570
241	3105	22559
242	3118	22546
243	3130	22531
244	3143	22515
245	3156	22504
246	3169	22495
247	3182	22484
248	3195	22471
249	3207	22455
250	3220	22438
251	3233	22426
252	3246	22416
253	3259	22406
254	3272	22395
255	3286	22389
256	3299	22380
257	3312	22367
258	3326	22357
259	3339	22345
260	3352	22336
261	3365	22324
262	3377	22308
263	3390	22297
264	3403	22281
265	3416	22269
266	3430	22269
267	3445	22267
268	3462	22280
269	3476	22273
270	3489	22262
271	3502	22251
272	3515	22239
273	3528	22225
274	3541	22211
275	3554	22201
276	3567	22190
277	3580	22176
278	3592	22163
279	3605	22149
280	3618	22133
281	3630	22120
282	3644	22111
283	3657	22100
284	3670	22086
285	3683	22075
286	3696	22062
287	3709	22049
288	3722	22036
289	3734	22019
290	3747	22005
291	3759	21991
292	3772	21975
293	3785	21963
294	3797	21948
295	3812	21948
296	3825	21934
297	3838	21925
298	3851	21910
299	3864	21897
300	3876	21878
301	3888	21865
302	3901	21850
303	3914	21836
304	3927	21823
305	3940	21812
306	3952	21797
307	3965	21784
308	3978	21770
309	3991	21758
310	4004	21749
311	4017	21736
312	4030	21724
313	4044	21718
314	4057	21705
315	4070	21694
316	4085	21688
317	4099	21684
318	4112	21672
319	4125	21660
320	4138	21645
321	4151	21635
322	4164	21623
323	4180	21624
324	4195	21620
325	4212	21629
326	4228	21632
327	4245	21642
328	4263	21653
329	4278	21649
330	4296	21665
331	4313	21670
332	4329	21674
333	4346	21679
334	4363	21685
335	4379	21687
336	4393	21682
337	4412	21697
338	4428	21696
339	4444	21699
340	4460	21700
341	4474	21694
342	4492	21701
343	4506	21694
344	4522	21694
345	4536	21684
346	4550	21678
347	4563	21662
348	4576	21647
349	4588	21633
350	4600	21615
351	4613	21601
352	4626	21586
353	4639	21572
354	4652	21560
355	4665	21546
356	4679	21535
357	4692	21521
358	4705	21508
359	4712	21467
360	4724	21451
361	4738	21439
362	4751	21425
363	4764	21412
364	4777	21400
365	4791	21391
366	4806	21386
367	4820	21378
368	4835	21371
369	4844	21343
370	4861	21346
371	4875	21338
372	4888	21325
373	4901	21311
374	4915	21298
375	4928	21285
376	4941	21271
377	4953	21256
378	4966	21243
379	4980	21231
380	4992	21216
381	5005	21199
382	5018	21185
383	5030	21171
384	5043	21157
