[0.9920724 0.0079276]
[0.97389251 0.02610749]
[0.99338182 0.00661818]
[0.99401532 0.00598468]
[0.99217204 0.00782796]
[0.99398222 0.00601778]
[0.98652305 0.01347695]
[0.97210266 0.02789734]
[0.98752085 0.01247915]
[0.95951772 0.04048228]
[0.98881915 0.01118085]
[0.9786741 0.0213259]
[0.98756382 0.01243618]
[0.99127115 0.00872885]
[0.99154313 0.00845687]
[0.99078876 0.00921124]
[0.99025246 0.00974754]
[0.98014227 0.01985773]
[0.98171913 0.01828087]
[0.98759723 0.01240277]
[0.99168681 0.00831319]
[0.99003754 0.00996246]
[0.99040376 0.00959624]
[0.99191681 0.00808319]
[0.99364588 0.00635412]
[0.99397987 0.00602013]
[0.99407166 0.00592834]
[0.99253613 0.00746387]
[0.99197935 0.00802065]
[0.99437509 0.00562491]
[0.9792217 0.0207783]
[0.96895351 0.03104649]
[0.96773581 0.03226419]
[0.98854964 0.01145036]
[0.9918155 0.0081845]
[0.99216963 0.00783037]
[0.99128766 0.00871234]
[0.99183309 0.00816691]
[0.99229147 0.00770853]
[0.99318016 0.00681984]
[0.99424334 0.00575666]
[0.99394538 0.00605462]
[0.99342258 0.00657742]
[0.994596 0.005404]
[0.99425534 0.00574466]
[0.99328668 0.00671332]
[0.99456822 0.00543178]
[0.9862786 0.0137214]
[0.99244857 0.00755143]
[0.98769187 0.01230813]
[0.99414713 0.00585287]
[0.99414014 0.00585986]
[0.99393474 0.00606526]
[0.99463235 0.00536765]
[0.99428678 0.00571322]
[0.89298971 0.10701029]
[0.92245166 0.07754834]
[0.96686347 0.03313653]
[0.98816103 0.01183897]
[0.98840252 0.01159748]
[0.99095671 0.00904329]
[0.98288706 0.01711294]
[0.98601268 0.01398732]
[0.98997485 0.01002515]
[0.99260372 0.00739628]
[0.98887113 0.01112887]
[0.99076495 0.00923505]
[0.99200697 0.00799303]
[0.98068845 0.01931155]
[0.9925038 0.0074962]
[0.99376068 0.00623932]
[0.99015512 0.00984488]
[0.98046101 0.01953899]
[0.99235544 0.00764456]
[0.9929543 0.0070457]
[0.99268959 0.00731041]
[0.98870176 0.01129824]
[0.9921594 0.0078406]
[0.99074574 0.00925426]
[0.99392747 0.00607253]
[0.99414603 0.00585397]
[0.99287321 0.00712679]
[0.99459982 0.00540018]
[0.98597754 0.01402246]
[0.98234685 0.01765315]
[0.98943139 0.01056861]
[0.9879404 0.0120596]
[0.99123288 0.00876712]
[0.99403729 0.00596271]
[0.99464576 0.00535424]
[0.99399658 0.00600342]
[0.98113487 0.01886513]
[0.99308347 0.00691653]
[0.99156252 0.00843748]
[0.98135683 0.01864317]
[0.98974477 0.01025523]
[0.99317665 0.00682335]
[0.9853674 0.0146326]
[0.97678055 0.02321945]
[0.98921156 0.01078844]
[0.98874053 0.01125947]
[0.9918192 0.0081808]
[0.99442764 0.00557236]
[0.99454749 0.00545251]
[0.99347306 0.00652694]
[0.96825675 0.03174325]
[0.98938143 0.01061857]
[0.96746466 0.03253534]
[0.99367629 0.00632371]
[0.99256528 0.00743472]
[0.99265085 0.00734915]
[0.99102633 0.00897367]
[0.99064504 0.00935496]
[0.99197834 0.00802166]
[0.9940898 0.0059102]
[0.9946583 0.0053417]
[0.99374595 0.00625405]
[0.99303065 0.00696935]
[0.99411425 0.00588575]
[0.99397308 0.00602692]
[0.9900793 0.0099207]
[0.99348059 0.00651941]
[0.99444668 0.00555332]
[0.99431426 0.00568574]
[0.99294162 0.00705838]
[0.99069168 0.00930832]
[0.99005847 0.00994153]
[0.99328173 0.00671827]
[0.99374226 0.00625774]
[0.98959061 0.01040939]
[0.99154164 0.00845836]
[0.99391728 0.00608272]
[0.99357716 0.00642284]
[0.99324719 0.00675281]
[0.98942557 0.01057443]
[0.98746783 0.01253217]
[0.99339235 0.00660765]
[0.99425758 0.00574242]
[0.99397099 0.00602901]
[0.99412317 0.00587683]
[0.99299816 0.00700184]
[0.98938067 0.01061933]
[0.99095065 0.00904935]
[0.99147895 0.00852105]
[0.99237298 0.00762702]
[0.86624101 0.13375899]
[0.94569499 0.05430501]
[0.98662074 0.01337926]
[0.99052483 0.00947517]
[0.98696868 0.01303132]
[0.99004997 0.00995003]
[0.9879382 0.0120618]
[0.98832383 0.01167617]
[0.98913618 0.01086382]
[0.98826045 0.01173955]
[0.98825855 0.01174145]
[0.98884944 0.01115056]
[0.98642248 0.01357752]
[0.98631938 0.01368062]
[0.98898813 0.01101187]
[0.9879789 0.0120211]
[0.98673184 0.01326816]
[0.98933308 0.01066692]
[0.99016792 0.00983208]
[0.98699185 0.01300815]
[0.98760061 0.01239939]
[0.98714064 0.01285936]
[0.98264722 0.01735278]
[0.98639204 0.01360796]
[0.98644146 0.01355854]
[0.98419082 0.01580918]
[0.98583208 0.01416792]
[0.98546242 0.01453758]
[0.977961 0.022039]
[0.65108834 0.34891166]
[0.98234036 0.01765964]
[0.98001481 0.01998519]
[0.95285376 0.04714624]
[0.95761649 0.04238351]
[0.97703482 0.02296518]
[0.97825503 0.02174497]
[0.98667308 0.01332692]
[0.9852823 0.0147177]
[0.98617339 0.01382661]
[0.98558018 0.01441982]
[0.9839255 0.0160745]
[0.98579904 0.01420096]
[0.98577745 0.01422255]
[0.98667556 0.01332444]
[0.98677292 0.01322708]
[0.98517876 0.01482124]
[0.98649673 0.01350327]
[0.98246808 0.01753192]
[0.97919223 0.02080777]
[0.91875796 0.08124204]
[0.94802768 0.05197232]
[0.95703834 0.04296166]
[0.9860631 0.0139369]
[0.97082149 0.02917851]
[0.96863114 0.03136886]
[0.98161997 0.01838003]
[0.97760204 0.02239796]
[0.98326983 0.01673017]
[0.98543595 0.01456405]
[0.98387342 0.01612658]
[0.97710228 0.02289772]
[0.9558923 0.0441077]
[0.87102607 0.12897393]
[0.92223999 0.07776001]
[0.91032367 0.08967633]
[0.94355685 0.05644315]
[0.98042597 0.01957403]
[0.98376277 0.01623723]
[0.98130575 0.01869425]
[0.98275496 0.01724504]
[0.86472524 0.13527476]
[0.97739976 0.02260024]
[0.98774634 0.01225366]
[0.97811511 0.02188489]
[0.98233955 0.01766045]
[0.98220393 0.01779607]
[0.98312393 0.01687607]
[0.9830133 0.0169867]
[0.9805526 0.0194474]
[0.98018695 0.01981305]
[0.96348085 0.03651915]
[0.98341026 0.01658974]
[0.98470895 0.01529105]
[0.98440998 0.01559002]
[0.98476874 0.01523126]
[0.98504724 0.01495276]
[0.96993777 0.03006223]
[0.98701949 0.01298051]
[0.98641343 0.01358657]
[0.98431973 0.01568027]
[0.98709677 0.01290323]
[0.98559157 0.01440843]
[0.98744884 0.01255116]
[0.98015481 0.01984519]
[0.98250209 0.01749791]
[0.98993111 0.01006889]
[0.98998722 0.01001278]
[0.98975866 0.01024134]
[0.99007047 0.00992953]
[0.98961993 0.01038007]
[0.98406907 0.01593093]
[0.98973636 0.01026364]
[0.98978017 0.01021983]
[0.98840159 0.01159841]
[0.98960004 0.01039996]
[0.99085517 0.00914483]
[0.98940887 0.01059113]
[0.98704739 0.01295261]
[0.9894107 0.0105893]
[0.99013338 0.00986662]
[0.99079339 0.00920661]
[0.9908941 0.0091059]
[0.98784221 0.01215779]
[0.98623203 0.01376797]
[0.99050143 0.00949857]
[0.99103944 0.00896056]
[0.9912795 0.0087205]
[0.99112381 0.00887619]
[0.83781174 0.16218826]
[0.87367253 0.12632747]
[0.98440782 0.01559218]
[0.98338583 0.01661417]
[0.9853913 0.0146087]
[0.99076652 0.00923348]
[0.99124076 0.00875924]
[0.99136698 0.00863302]
[0.99101321 0.00898679]
[0.99109355 0.00890645]
[0.99017324 0.00982676]
[0.99071579 0.00928421]
[0.98988685 0.01011315]
[0.79211004 0.20788996]
[0.82414279 0.17585721]
[0.94170029 0.05829971]
[0.98025061 0.01974939]
[0.98240771 0.01759229]
